term	family	layer	function	attested	gloss	source	same_object_as
Preamble	Western pop	section	front_framing	no	spoken or sung opening address	UNCITED (rhetorical/legal, not a music-form term)	intro
Prechorus	Western pop	section	medial	no	lifts from verse into chorus; a distinct function, not a short verse	Everett; Summach; Covach	"SECTION_FUNCTIONS[""prechorus""] — VERBATIM. Repo has it (unwitnessed). Stop."
Prelude	Western pop	section	front_framing	"lexical:9 (all poem TITLES, e.g. ""Prelude to 'The New Day'"")"	opening span preceding the main body	"Grove (""prelude"")"	intro
Primary bridge	Western pop	section	contrasting	no	the first of two bridges in a song with two	UNCITED	bridge + an INSTANCE INDEX. ingest_mark already declares the numeral an instance index ([CHORUS 2] = the song's second chorus). This is that, one function over.
Ramp	Western pop	section	medial	lexical:1 (naive grep said 120 — substring artifact)	prechorus, studio synonym	UNCITED	prechorus
Rap verse	Western pop	section	initiating	no	verse delivered in rap	standard usage	verse + DELIVERY coordinate
Recitative	Western pop	section	front_framing	"lexical:2 (Whitman, ""a rude brief recitative"")"	speech-rhythm declamatory setting; in the recit–aria pair it frames the aria	"Grove (""recitative"")"	no repo row. Layer unclear — its defining property is a DELIVERY coordinate, not a position (see §(b)).
Refrain	Western pop	section	goal	mark:597 (eng)	a returning line or couplet inside or after a stanza	"Grove (""refrain"")"	"SECTION_FUNCTIONS[""refrain""] + MARK_FUNCTION[""REFRAIN""]. Witnessed. Stop."
Release	Western pop	section	contrasting	"lexical:36 — ALL 36 ARE ""Release date:"" PG BOILERPLATE"	the Tin Pan Alley name for the AABA B-section	Forte, The American Popular Ballad; Covach	bridge NAME, Tin Pan Alley dialect. The attestation is a trap, not a finding.
Reprise	Western pop	section	rear_framing	no (0 word-bounded)	a declared return of earlier material, later and changed	"Grove (""Reprise""); Everett"	"SECTION_FUNCTIONS[""reprise""] — VERBATIM, recurrence=""once"", in single_use (added after a documented one-member drift), and the sole subject of the (""reprise"",""chorus"") reprise pair. Note the repo's gl"
Response verse	Western pop	section	goal	no	the group's answering half	Grove; Lomax	"SECTION_FUNCTIONS[""burden""] — whose gloss already carries the voicing coordinate: ""a refrain sung by all"". The response half of call-and-response is the burden, and the repo said so first."
Retransition	Western pop	section	connective	no	the passage returning to the main theme	Caplin, Classical Form; Grove; adopted by Everett/Summach for pop	closest repo rows are turnaround and build; a genuine candidate NAME
Ride-out	Western pop	section	rear_framing	no	the final out-chorus, played at full intensity to the close	Grove Jazz	no repo row. Function is rear_framing, and it is the same object as head-out in a different band idiom. A NAME row, not a new function.
Riff section	Western pop	section	instrumental	no	a span built on a short repeated melodic-rhythmic figure	"Grove Jazz (""riff""); Everett"	"same object as vamp. ""Riff"" is the MATERIAL; ""vamp"" is the span holding it open."
Runway	Western pop	section	medial	no	prechorus, informal	UNCITED	prechorus
Secondary bridge	Western pop	section	contrasting	no	the second bridge	UNCITED	bridge + instance index 2. Same row as above.
Sectional refrain	Western pop	section	goal	no	a refrain that IS a standalone span	"Grove; Covach (""sectional"")"	"= chorus. The repo's refrain gloss excludes it by name: ""not a standalone section""."
Setup	Western pop	section	medial	no	prechorus, informal	UNCITED	prechorus
Shout chorus	Western pop	section	goal	no	the arranged full-ensemble climactic chorus of a big-band chart	Grove Jazz	"no repo row — a genuine candidate, and it is goal, not instrumental. It is where the arrangement arrives. The repo's nearest row is drop (""the arrival a build points at""), which is the same FUNCTION i"
Skit	Western pop	section	front_framing	lexical:1	a spoken sketch span, hip-hop album convention	standard usage; UNCITED academically	"SECTION_FUNCTIONS[""interlude""] when internal — its gloss already reads ""instrumental or spoken span between sung sections"". At album level a skit is a separate TRACK, which is outside a song's section"
Soli	Western pop	section	instrumental	no	a passage for one section of the band in harmonised unison	Grove Jazz	solo? No — the defining fact is TEXTURE (a section in harmony), not that it is instrumental. Layer unclear; probably a perform/arrangement coordinate on an instrumental span.
Solo	Western pop	section	instrumental	"heading:2 + stager:2 (SOLO--SOPHIA., and a NOTE saying ""source prints SOLO/CHORUS labels"")"	an instrumental span over section material	Everett; Grove Jazz	"SECTION_FUNCTIONS[""solo""] EXISTS with aliases instrumental-solo/instrumental solo/instrumental_solo. BUT SEE §6 AND Q4: the corpus's printed SOLO is a VOCAL FORCE label (one voice against all), which "
Spoken verse	Western pop	section	initiating	no	verse delivered in speech	standard usage	verse + DELIVERY coordinate
Spoken-word intro	Western pop	section	front_framing	no	intro delivered in speech rather than song	standard usage	intro + a DELIVERY coordinate. interlude's gloss already treats spoken/instrumental as content, not function.
Sprechgesang verse	Western pop	section	initiating	no	verse in notated speech-song	"Grove (""Sprechgesang""); Schoenberg"	"verse + DELIVERY coordinate. These four are ONE object under four deliveries. The repo has no delivery coordinate on Section, but interlude's gloss (""instrumental or spoken"") shows delivery is already"
Stanza	Western pop	section	initiating	lexical:790 + mark:1	the printed verse unit of a poem	Grove; standard poetics	verse. The 790 are overwhelmingly editorial prose in stager headers, not sung text — count it as apparatus, not attestation.
Stop-time chorus	Western pop	section	instrumental	no	the rhythm section punctuates and rests, leaving the soloist exposed	Grove Jazz	no repo row. Its defining fact is what the accompaniment does — perform/arrangement — while the SPAN is an ordinary instrumental chorus. Layer unclear.
Strophe	Western pop	section	initiating	lexical:2 (naive grep said 30 — substring artifact)	the repeating stanza-unit of a strophic song	"Grove (""strophic"")"	verse. A poetics name for the same object.
Sung verse	Western pop	section	initiating	no	verse delivered in song	standard usage	verse + DELIVERY coordinate (the unmarked default)
Tacet section	Western pop	section	instrumental	no	a span in which a named part is silent	"Grove (""tacet"")"	perform. Same object as bass drop-out, generalised. A tacet is an instruction on ONE part, not a section of the song.
Tag	Western pop	section	rear_framing	lexical:10	a short repeated fragment closing a section or the song	Everett; standard gospel/studio usage	"SECTION_FUNCTIONS[""tag""] — VERBATIM, and it is in FormConvention.fixed_return (expected to hold one length and one slot)."
Tempo switch	Western pop	section	contrasting	no	the tempo changes for a span	"Grove (""tempo"")"	"PERMANENTLY REFUSABLE at the measurement. fit.py UNANSWERABLE row 1: ""PERMANENT: there is no tempo (MISSING.md C-5)"". A declared tempo change could be a coordinate; a measured one never can."
Tension section	Western pop	section	medial	no	descriptive, not a term of art	UNCITED	prechorus / build
Tin Pan Alley verse	Western pop	section	front_framing	no (as a term)	the once-only sectional verse preceding the chorus in c.1900–1930 song; routinely dropped in performance	"Covach (""sectional verse""); Forte; Summach"	verse NAME, but NOT the repo's verse ROW — see §5, this is the one real functional mismatch.
Tornada	Western pop	section	rear_framing	no (0)	the Occitan name for the envoi of a canso	standard troubadour scholarship	same object as envoi. Zero attestation — and this is exactly the case RESULTS_MARK_COVERAGE.md's amendment warns about: a term-list-driven table would create a tornada row with zero members, like sèis
Transition	Western pop	section	connective	"lexical:1 (Whitman, ""the exquisite transition of death"")"	a span whose job is to get from one section to the next	Everett; Covach	"SECTION_FUNCTIONS[""turnaround""] — ""carries the end of one section into the next"" is this gloss verbatim. The repo has it under the blues/jazz name."
Transitional bridge	Western pop	section	connective	no	a bridge that CONNECTS rather than contrasts	Summach	"NOT the repo's bridge. Repo's bridge is ""appears once and CONTRASTS"", recurrence=""once"", contrasts_with=(""verse"",""chorus""). A transitional bridge does none of that; it is turnaround/interlude. Name co"
Trio	Western pop	section	contrasting	"lexical:4 (Whitman ""a curious trio""); stager:1 — PATTER-TRIO. is a printed heading in PG 808, named in eng_hall_ws_gilbert.txt"	the contrasting middle strain of a minuet, scherzo or march, in a contrasting key	"Grove (""Trio"")"	no repo row — a genuine candidate, and cross-tradition (march, minuet, ragtime, Sousa). Its function is contrasting; its NAME belongs to art-music/march tradition, not pop.
Turnaround	Western pop	section	connective	no (word-bounded 0)	carries the end of one section into the next	Grove Jazz; Tagg	"SECTION_FUNCTIONS[""turnaround""] — VERBATIM, and the repo's gloss is already the CONNECTIVE one. See Q4: this is the strongest cross-tradition row in the batch."
Vamp	Western pop	section	instrumental or connective	"lexical:2 (Burns ""'twould vamp my bill""; Whittier, shoemaking)"	a repeating figure held open	Tagg; Grove Jazz	"SECTION_FUNCTIONS[""vamp""] — VERBATIM (""a repeating figure held open"", recurrence open). The repo's gloss is deliberately function-neutral, which is what lets it serve gospel and jazz too. See Q4."
Vamp intro	Western pop	section	front_framing	lexical:2 (shoe-repair verb in D'Urfey)	a held-open repeating figure placed at the front	standard studio usage	"SECTION_FUNCTIONS[""vamp""] + a POSITION coordinate. Repo has vamp (""a repeating figure held open""). ""Intro"" is where it sits, not what it is."
Vamp-out	Western pop	section	rear_framing	no	the song ends on an open repeating figure	Tagg; standard usage	"SECTION_FUNCTIONS[""vamp""] + position. Exactly parallel to Wave A's vamp intro, at the other end. That symmetry is the argument that vamp is position-neutral and the position is a coordinate."
Verse	Western pop	section	initiating	mark:47,655 (eng)	carries the narrative; returns with new words on the same tune	Grove; Covach; Everett	"SECTION_FUNCTIONS[""verse""] — VERBATIM, and MARK_FUNCTION[""VERSE""]. Witnessed. Stop."
Riser	Western pop	two rows		"lexical:1 (""an early riser"", Whitman)"			
